title,lyrics
Смельчак и Ветер,"Припев:

Я ведь не из робких,
Все мне по плечу.
Сильный я и ловкий,
Ветра проучу!

Дул сильный ветер, крыши рвал.
И, несмотря на поздний час,
В округе вряд ли кто-то спал -
Стихия не на шутку разошлась.

Но вдруг какой-то парень с криком побежал
И принялся махать метлой:
""Ах, ветер, негодяй, ты спать мне помешал,
А ну-ка выходи на бой!""

(Припев)

И ветер закружился, заметался
И ели начал с корнем рвать:
""Откуда этот сумасшедший взялся,
Что хочет с ветром воевать"".

Но парень не сдавался и метлой махал,
И удалялся вглубь полей.
И впрямь неплохо с ветром воевал,
А ветер становился злей...

(Припев)

Но вдруг метла со свистом улетела прочь
И храбрый парень вслед за ней.
А после этого спокойней стала ночь -
Исчез во мраке дуралей.

Его под утро пастухи нашли в стогу -
Он очень крепко спал,
А ветер песни напевал ему
И кудри ласково трепал.

(Припев)  "
Проказник Скоморох,"На свадьбе скоморох,
Был прытким как горох.
Он бегал по столам,
Кидался пудингом в гостей.
Такую чушь он нес,
Что ржали все до слез,
Смеялся даже старый пес.

Припев:

Праздник веселый на селе,
Пляшет хмельной народ,
И угощенья на столе -
Свадьба вовсю идет.

Воскликнул скоморох,
Лишь только смех заглох:
""Хотите я вам фокус покажу?""
Невесту он схватил
И в бочку посадил,
Всех отвернуться попросил.

(Припев)

Раздался женский крик,
И в тот же самый миг,
Над длинной сельской улицей
Погасли фонари.
Включили люди свет -
Глядят - невесты нет,
И скомороха не нашли они.

Припев:  "
Верная Жена,"Дождливой ночью парень, выбравшись из леса
Вдруг одинокую избушку увидал.
""Надеюсь, там мне до утра найдется место,
Я страшно голоден и очень уж устал"".
Старуха дряхлая скитальцу дверь открыла,
Пустила в дом и не спросила ничего.
Переодела, очень сытно накормила,
Постель на печке разложила для него.

Только парень глаза сомкнул,
Как из подвала раздался стон.
""Скажи мне бабушка, что за шум?"" -
Вдруг обратился к старухе он.

А она в ответ:
""Там мой покойный дед,
Там дух его живет
И по ночам поет,

Припев:

Э-э-эй - он был злодей,
Э-э-эй - он бил людей,
Э-э-эй - он получил сполна"".

""Не могу я больше слушать, бабка, этот жуткий стон.
Я пойду и прогоню его, да кто бы ни был он!!!""
Только парень в подвал залез -
За ним старуха закрыла дверь:
""Ого, нашелся какой храбрец,
А ну-ка, дед, принимай гостей.
Сколько вас таких, ходит по лесам,
Каждый норовит нос сунуть в мой подвал"".

Припев:

Э-э-эй - проходит миг,
Э-э-эй - силен старик
Э-э-эй - сам виноват.

И раздался крик предсмертный и зачавкал страшный дед,
А старуха подошла к окну и выключила свет.
Хоть сама его сгубила и на муки обрекла,
Но пусть знают, что жена ему по-прежнему верна. Верна.
Верна!  "
Садовник,"Целый вечер нет покоя парню от его сестер:
""Ты сходи, - говорят, - ночной порою за цветами в сад чужой.
Тот садовник, что живет у леса,
У него ведь сад такой чудесный...""

И решил парень тут:
""Ладно, в сад я пойду,
А то эти бабы доведут,
Покоя и не дадут!""

И лишь час подошел,
Взял он нож и пошел,
Под покровом темноты
В чужой сад, рвать цветы!

Припев:

""Ты пойди, пойди, братец, в сад чужой,
Набери цветов, принеси домой.
Братец, в сад чужой, ты, пойди, пойди
И чужих цветов ты нам принеси"".

Час прошел, другой прошел,
Брат назад все не шел.
Сестры начали переживать -
Сколько можно брата ждать!

За окошком рассвет,
Ну а брата все нет,
Но едва запели петухи у двери
Раздались шаги!

(Припев)

И с улыбкой во весь рот,
В дом вошел садовод,
Положил на стол букет цветов и сгинул,
Без лишних слов.

И открыли сестры рты,
Посмотрев на цветы -
Голова их брата
Средь цветов лежала!

(Припев)  "
Блуждают Тени,"Какой таинственной казалась мне та ночь,
Я затушил свечу, я стал ждать,
Чего не знаю, в тишине,
Вдруг представилось мне:

Припев:

Блуждают тени возле дома
Разных сказочных зверей,
Исчезнут и возникнут снова,
Стучатся еле слышно в мою дверь, мою дверь...

Я подошел к окну, всмотрелся в темноту,
Стекло протер и улыбнулся -
И в самом деле,
Все что я представлял - увидал:

(Припев)  "
Внезапная Голова,"Услыхал мужик под вечер вдруг,
В свою дверь какой-то странный стук,
Но едва шагнул он за порог
Что-то его сбило с ног!

Припев:

И увидел он,
Как вкатилась в дом...
Как вкатилась в дом живая голова,
Открывала рот и моргала она!

""Вот те на"", - пробормотал мужик.
И поднялся с пола в тот же миг,
Стала за ноги его кусать
Голова и он упал опять!

Припев:

""Прочь, сгинь, колобок,
Отцепись от ног!""
Но все сильней кусала злая голова.
Мужика до слез она довела.

Чья-то тень мелькнула за окном,
Безголовый тип ворвался в дом,
Бошку беглую свою схватил,
И себе на плечи посадил.

Припев:

Тут издал он крик:
""Извини мужик!""
И руками голову свою держа
Радостно смеясь, он убежал.  "
Шар Голубой,"Крутится-вертится шар голубой,
Крутится-вертится над головой.
Крутится-вертится, хочет упасть,
Кавалер барышню хочет украсть!

Вот эта улица, вот этот дом,
Вот эта барышня, что я влюблен.
Вот эта улица, вот этот дом,
И вот эта барышня, что я влюблен!

Крутится-вертится шар голубой,
Крутится-вертится над головой.
Крутится-вертится, хочет упасть,
Кавалер барышню хочет украсть!  "
Злодей и Шапка,"Как-то некто на базар пришел,
К самой первой лавке подошел:
""Эй, продавец, ну-ка думай быстрей,
Какую выбрать одежду мне в лавке твоей.
Я по характеру злой, мое стремление - власть,
Во мне горячая кровь, во мне свирепая страсть.

Припев:

Я хочу, чтоб видя облик мой,
Все меня обходили стороной,
Чтобы сразу понимали, кто я в душе такой"".

Торговец понял - дело непростое.
Что бы это предложить такое?
""Я б не хотел тебя, приятель, обидеть,
Но такого как ты, да лучше б вовсе не видеть.
Я, кажется, знаю, что тебе подойдет,
Твой горячий характер каждый сразу поймет"".

Припев:

И старинный он сундук открыл,
Вынул шапку и проговорил:
""В свое время сам Великий Карл ее носил"".

""То, что надо!"" - злодей заулыбался.
Новой шапкой очень восхищался,
Шел он домой, воображал и гордился,
Перед зеркалом в спальне он весь вечер крутился.
Но когда снял он шапку, с ним случилась беда -
Вместе с шапкой снялась и его голова.

Припев:

Я хочу, чтоб видя облик мой,
Все меня обходили стороной...  "
От Женщин Кругом Голова,"- Душа моя тоски полна,
Ах, сжалься, незнакомец милый.
Я здесь одна, совсем одна,
Прошу, спаси меня, помилуй.

Когда б меня ты развязал,
Тебя б всем сердцем полюбила,
Неужто каменный подвал
Навечно будет мне могилой?!

- От женщин кругом голова,
Влюбись - хлопот не оберешься,
А что любовь - одни слова.
И толку вряд ли с них добьешься!

Припев:

Как говорил папаша мой:
""Последним делом бабу слушать!"".
Пойду-ка, лучше я домой -
Желудок стонет, просит кушать!  "
Рыбак,"Сидел на озере рыбак,
В лодке с удочкой дремал.
И потому не замечал,
Как на воду лег туман.
А потом увидел он,
Белый пар со всех сторон.
""Что мне делать, как мне быть?
Как узнать, куда мне плыть?
Как узнать, куда мне плыть?""

Посмотрел вперед, назад,
И поплыл он наугад.
Но коснулось дна весло -
Берег рядом - повезло!
И рыбак пришел домой,
Дверь толкнул своей рукой.
Видит в комнате жена,
Словно статуя она,
И не смотрит на него она!

За окном застыла ночь,
Неподвижна в люльке дочь,
Над плитой часы стоят,
Мухи в воздухе висят.
Сын стоит, разинув рот,
И, в прыжке со стула, замер кот...  "
Мотоцикл,"Злился подо мной мотоцикл мой,
Ночью он мчал меня домой.
Глядя на поля, не заметил я,
Что кто-то чешет прямо на меня.

Припев:

И раздался крик во мгле,
Кровь в лицо попала мне!
Кто-то сзади голосил,
А я гнал, что было сил!

Тот ужасный крик все звучал в ушах моих,
Но я все дальше уезжал.
Что ж я натворил, я же человека сбил,
Но он проехать мне мешал.

(Припев)

Утром, сам не свой, прибыл я домой,
И, лишь зажег я в спальне свет.
Хочешь - верь, не верь, на кровати на моей
Лежал кровавый человек.

(Припев)  "
Холодное Тело,"Холодное тело к воде я поднес
И в лодку его положил...
""Плыви дорогая, - я ей вслед произнес -
Мне хватит измены и лжи.

Припев:

Я все это долго терпел!
Но знаешь, всему есть предел, есть предел!!!
Пускай качает тело твое вода,
Я все прощаю, но ты прощай навсегда!""

По мутной озерной холодной воде,
На лодке поплыла она.
Я, горем убитый, ей вслед поглядел:
""Зачем до греха довела?

(Припев)  "
